"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
851,"2019-01-01 00:55:58.6310","2019-01-01 01:10:09.9080",3349,"Grand Army Plaza & Plaza St West",40.6729679,-73.97087984,353,"S Portland Ave & Hanson Pl",40.68539567,-73.97431458,35649,"Subscriber",1988,2
209,"2019-01-01 00:56:09.0290","2019-01-01 00:59:38.0370",3381,"3 St & Hoyt St",40.6777287,-73.99364123,3396,"Clinton St & 4 Place",40.6783563,-74.00014502,35137,"Subscriber",1969,1
2009,"2019-01-01 00:56:19.9300","2019-01-01 01:29:49.7390",3165,"Central Park West & W 72 St",40.77579376683666,-73.9762057363987,3461,"Murray St & Greenwich St",40.714851505262516,-74.01122331619263,35162,"Subscriber",1964,1
2294,"2019-01-01 00:56:30.7720","2019-01-01 01:34:45.0200",349,"Rivington St & Ridge St",40.71850211,-73.98329859,3541,"Amsterdam Ave & W 125 St",40.813358,-73.956461,35610,"Customer",1998,1
342,"2019-01-01 00:56:46.3340","2019-01-01 01:02:28.6560",3159,"W 67 St & Broadway",40.77492513,-73.98266566,3166,"Riverside Dr & W 72 St",40.78057799010334,-73.98562431335449,34967,"Subscriber",1990,1
675,"2019-01-01 00:56:38.7050","2019-01-01 01:07:54.3030",3486,"Schermerhorn St & Bond St",40.688417427540834,-73.98451656103134,364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,24797,"Customer",1969,0
2088,"2019-01-01 00:56:47.8340","2019-01-01 01:31:36.0480",487,"E 20 St & FDR Drive",40.73314259,-73.97573881,3386,"1 Pl & Clinton St",40.6809591,-73.99905709,35209,"Subscriber",1992,1
832,"2019-01-01 00:56:57.2660","2019-01-01 01:10:49.5140",128,"MacDougal St & Prince St",40.72710258,-74.00297088,383,"Greenwich Ave & Charles St",40.735238,-74.000271,25335,"Subscriber",1989,1
391,"2019-01-01 00:57:06.4460","2019-01-01 01:03:37.5630",522,"E 51 St & Lexington Ave",40.75714758,-73.97207836,447,"8 Ave & W 52 St",40.76370739,-73.9851615,29015,"Subscriber",1969,0
796,"2019-01-01 00:57:53.0380","2019-01-01 01:11:09.1100",458,"11 Ave & W 27 St",40.751396,-74.005226,3709,"W 15 St & 6 Ave",40.738046142482766,-73.99642959237099,29955,"Subscriber",1980,0
434,"2019-01-01 00:57:54.0710","2019-01-01 01:05:08.5260",128,"MacDougal St & Prince St",40.72710258,-74.00297088,380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,33926,"Subscriber",1991,1
